strategy,filter_mode,start,end,years,final_equity,CAGR,MaxDD,MAR,ann_vol,Sharpe,exposure,avg_positions,win_rate,payoff,expectancy,avg_hold_days,n_trades,trades_per_year,total_commission,bench_CAGR,bench_MaxDD,bench_MAR,bench_start,market,variant,display,label,kind
yearly_high,none,1998-09-01,2026-04-30,27.66,16195944.38,0.10591873443339,-0.7786652439530564,0.1360260204958828,0.2354793896974062,0.449800445675933,0.9445677843221424,18.58,0.4347826086956521,3.416016123793459,0.4311633107363383,514.4391304347826,230,8.3,9562.59,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,raw,52-Week High,52-Week High (raw),UG-raw
yearly_high,trailing_10pct,1998-09-01,2026-04-30,27.66,40102213.26,0.1427697837820429,-0.3421094405079666,0.4173219644861519,0.1723454701902787,0.8283930156354987,0.6233353365776909,12.36,0.4561688311688311,2.3892867382069793,0.0697062852723039,68.89935064935065,1232,44.5,49280.0,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,filtered,52-Week High,52-Week High (filtered),UG-filtered
hundred_day_high,none,1998-09-01,2026-04-30,27.66,31074250.54,0.1322809637709732,-0.7698167337751733,0.1718343574090273,0.2398234527125053,0.5515764295560721,0.933149335312435,18.79,0.4235976789168278,3.129067870533657,0.2368704157393471,242.1450676982592,517,18.7,21060.68,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,raw,100-Day High,100-Day High (raw),UG-raw
hundred_day_high,trailing_10pct,1998-09-01,2026-04-30,27.66,65191717.56,0.1630217152007791,-0.4001349135990784,0.4074168728103575,0.1913467072778737,0.8519703187995754,0.6697128293993555,13.3,0.4203316510454217,2.805154423605505,0.0741031897788237,65.86950252343186,1387,50.1,55480.0,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,filtered,100-Day High,100-Day High (filtered),UG-filtered
trendpilot,none,1998-09-01,2026-04-30,27.66,6765811.96,0.0715643269695356,-0.7626665955671315,0.0938343535504124,0.2476946505327772,0.2889215686152478,0.9715857556390282,19.55,0.3313782991202346,3.33057381927745,0.0724654767447863,129.27370478983383,1023,37.0,41309.75,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,raw,TrendPilot,TrendPilot (raw),UG-raw
trendpilot,no_new_entries,1998-09-01,2026-04-30,27.66,8034674.9,0.0782438322263536,-0.7448479423395244,0.1050467186370876,0.2311108482840923,0.3385554283032731,0.8738759755435972,17.22,0.3352872215709261,3.159059604843372,0.0697211267034588,136.99648300117232,853,30.8,34271.74,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,filtered,TrendPilot,TrendPilot (filtered),UG-filtered
golden_cross,none,1998-09-01,2026-04-30,27.66,60118532.99,0.1596203492841925,-0.6206773690831342,0.2571712088036721,0.2278832664398095,0.7004478730620305,0.915261831326628,17.99,0.3851540616246499,3.984947830465315,0.1760648830550572,170.49299719887955,714,25.8,28933.37,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,raw,Golden Cross,Golden Cross (raw),UG-raw
golden_cross,exit_all_cash,1998-09-01,2026-04-30,27.66,20610064.49,0.1155972160895364,-0.3801534861107719,0.304080378881105,0.1507505863491126,0.7668110545310454,0.4678979182571059,9.31,0.4461901021209741,2.7430495153758674,0.0585245683216859,50.20031421838178,1273,46.0,50920.0,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,filtered,Golden Cross,Golden Cross (filtered),UG-filtered
mac,none,1998-09-01,2026-04-30,27.66,20593103.53,0.1155640120798846,-0.6298121296955972,0.1834896576789326,0.2273948536104193,0.5082085642882354,0.9597372694479352,19.31,0.3811230585424134,3.280847390419929,0.1459030157907788,155.29749103942652,837,30.3,33862.91,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,raw,Moving Avg Channel,Moving Avg Channel (raw),UG-raw
mac,no_new_entries,1998-09-01,2026-04-30,27.66,11150881.04,0.0910960391152155,-0.6616170561701471,0.1376869569272236,0.2289809285628838,0.3978324294819966,0.8809103878287047,17.46,0.3874849578820697,2.7775208186983287,0.1003903941083002,142.14921780986762,831,30.0,33410.49,0.1188672049796353,-0.6425598915640467,0.1849900788085328,2005-09-26,india,filtered,Moving Avg Channel,Moving Avg Channel (filtered),UG-filtered
