strategy,filter_mode,start,end,years,final_equity,CAGR,MaxDD,MAR,ann_vol,Sharpe,exposure,avg_positions,win_rate,payoff,expectancy,avg_hold_days,n_trades,trades_per_year,total_commission,bench_CAGR,bench_MaxDD,bench_MAR,bench_start,market,variant,display
yearly_high,none,1998-09-01,2026-04-30,27.66,16195944.38,0.10591873443339006,-0.7786652439530564,0.13602602049588283,0.23547938969740628,0.449800445675933,0.9445677843221424,18.58,0.43478260869565216,3.4160161237934594,0.43116331073633835,514.4391304347826,230,8.3,9562.59,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,raw,52-Week High
yearly_high,trailing_10pct,1998-09-01,2026-04-30,27.66,40102213.26,0.14276978378204297,-0.34210944050796666,0.41732196448615194,0.17234547019027877,0.8283930156354987,0.6233353365776909,12.36,0.45616883116883117,2.3892867382069793,0.06970628527230391,68.89935064935065,1232,44.5,49280.0,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,filtered,52-Week High
hundred_day_high,none,1998-09-01,2026-04-30,27.66,31074250.54,0.1322809637709732,-0.7698167337751733,0.17183435740902736,0.23982345271250538,0.5515764295560721,0.933149335312435,18.79,0.42359767891682787,3.129067870533657,0.2368704157393471,242.1450676982592,517,18.7,21060.68,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,raw,100-Day High
hundred_day_high,trailing_10pct,1998-09-01,2026-04-30,27.66,65191717.56,0.16302171520077913,-0.4001349135990784,0.40741687281035754,0.19134670727787373,0.8519703187995754,0.6697128293993555,13.3,0.42033165104542175,2.805154423605505,0.07410318977882371,65.86950252343186,1387,50.1,55480.0,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,filtered,100-Day High
trendpilot,none,1998-09-01,2026-04-30,27.66,6765811.96,0.07156432696953563,-0.7626665955671315,0.09383435355041243,0.2476946505327772,0.28892156861524787,0.9715857556390282,19.55,0.3313782991202346,3.33057381927745,0.07246547674478632,129.27370478983383,1023,37.0,41309.75,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,raw,TrendPilot
trendpilot,no_new_entries,1998-09-01,2026-04-30,27.66,8034674.9,0.07824383222635367,-0.7448479423395244,0.1050467186370876,0.23111084828409237,0.3385554283032731,0.8738759755435972,17.22,0.33528722157092616,3.159059604843372,0.06972112670345883,136.99648300117232,853,30.8,34271.74,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,filtered,TrendPilot
golden_cross,none,1998-09-01,2026-04-30,27.66,60118532.99,0.15962034928419255,-0.6206773690831342,0.2571712088036721,0.2278832664398095,0.7004478730620305,0.9152618313266281,17.99,0.3851540616246499,3.9849478304653148,0.1760648830550572,170.49299719887955,714,25.8,28933.37,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,raw,Golden Cross
golden_cross,exit_all_cash,1998-09-01,2026-04-30,27.66,20610064.49,0.11559721608953644,-0.38015348611077193,0.30408037888110506,0.1507505863491126,0.7668110545310454,0.46789791825710597,9.31,0.4461901021209741,2.7430495153758674,0.058524568321685906,50.20031421838178,1273,46.0,50920.0,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,filtered,Golden Cross
mac,none,1998-09-01,2026-04-30,27.66,20593103.53,0.11556401207988465,-0.6298121296955972,0.18348965767893263,0.2273948536104193,0.5082085642882354,0.9597372694479351,19.31,0.3811230585424134,3.280847390419929,0.1459030157907788,155.29749103942652,837,30.3,33862.91,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,raw,Moving Avg Channel
mac,no_new_entries,1998-09-01,2026-04-30,27.66,11150881.04,0.09109603911521558,-0.6616170561701471,0.13768695692722369,0.22898092856288382,0.3978324294819966,0.8809103878287047,17.46,0.38748495788206977,2.7775208186983287,0.10039039410830027,142.14921780986762,831,30.0,33410.49,0.11886720497963532,-0.6425598915640467,0.18499007880853285,2005-09-26,india,filtered,Moving Avg Channel
