strategy,filter_mode,start,end,years,final_equity,CAGR,MaxDD,MAR,ann_vol,Sharpe,exposure,avg_positions,win_rate,payoff,expectancy,avg_hold_days,n_trades,trades_per_year,total_commission,bench_CAGR,bench_MaxDD,bench_MAR,bench_start,market,variant,display,label,kind
yearly_high,none,1996-01-02,2026-06-16,30.45,2030170.07,0.103915720688724,-0.4539608708107789,0.2289089817435794,0.1841099192457528,0.5644221729846922,0.9711307883325104,19.5,0.4516129032258064,6.492244352680268,0.4913595879757297,565.8145161290323,248,8.1,516.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,raw,52-Week High,52-Week High (raw),UG-raw
yearly_high,trailing_10pct,1996-01-02,2026-06-16,30.45,1440228.42,0.0915404462199478,-0.2845923929768995,0.3216545785444736,0.12799151081006,0.7152071699176539,0.8097851153350949,16.14,0.4745470232959448,2.315591314441049,0.0489194207966403,105.56341673856772,1159,38.1,2338.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,filtered,52-Week High,52-Week High (filtered),UG-filtered
hundred_day_high,none,1996-01-02,2026-06-16,30.45,5789567.63,0.1425643065152209,-0.4209987289433067,0.3386335794244622,0.1845713362800768,0.7724076196690011,0.9757575791707304,19.63,0.4809523809523809,3.414095583537331,0.1654590731176794,234.92857142857144,630,20.7,1279.61,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,raw,100-Day High,100-Day High (raw),UG-raw
hundred_day_high,trailing_10pct,1996-01-02,2026-06-16,30.45,1340290.78,0.0889658108682369,-0.2944215872863317,0.3021714939051519,0.1310169004913124,0.6790407232549068,0.8244625246849563,16.45,0.458498023715415,2.276185380717211,0.0430748178830386,98.51541501976284,1265,41.5,2550.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,filtered,100-Day High,100-Day High (filtered),UG-filtered
trendpilot,none,1996-01-02,2026-06-16,30.45,16271071.54,0.181998913296282,-0.5229524923406011,0.3480218871922794,0.2186901483325465,0.8322227346955259,0.990926938988578,19.91,0.4453781512605042,4.104489228900314,0.1366056517662257,157.22899159663865,952,31.3,1924.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,raw,TrendPilot,TrendPilot (raw),UG-raw
trendpilot,no_new_entries,1996-01-02,2026-06-16,30.45,25189427.9,0.199084197510754,-0.4209385106086634,0.4729531570368431,0.2045013084394776,0.9735106294915132,0.905463570650223,17.99,0.4525357607282184,4.963388329181522,0.1788436507524174,175.7295188556567,769,25.3,1558.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,filtered,TrendPilot,TrendPilot (filtered),UG-filtered
golden_cross,none,1996-01-02,2026-06-16,30.45,1512780.24,0.0933034759424717,-0.4452080905619716,0.2095727322131497,0.1769010278126391,0.5274332042959757,0.9604931892424076,19.23,0.4327044025157233,3.1013909361250485,0.0981911583009636,181.8691823899371,795,26.1,1610.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,raw,Golden Cross,Golden Cross (raw),UG-raw
golden_cross,exit_all_cash,1996-01-02,2026-06-16,30.45,300144.74,0.0367505705462556,-0.3571459457937747,0.1029007076212937,0.1042759509316796,0.3524357267222063,0.5218216423603912,10.43,0.4401847575057737,1.7768299178184368,0.0115382818627195,36.66420323325635,2165,71.1,4350.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,filtered,Golden Cross,Golden Cross (filtered),UG-filtered
mac,none,1996-01-02,2026-06-16,30.45,5331959.28,0.1394792243340277,-0.4416714475199387,0.3157985989749339,0.185638420134793,0.7513489084465981,0.9795810009106304,19.74,0.4732283464566929,2.384955648227717,0.068757969703261,117.4007874015748,1270,41.7,2560.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,raw,Moving Avg Channel,Moving Avg Channel (raw),UG-raw
mac,no_new_entries,1996-01-02,2026-06-16,30.45,6019662.46,0.1440274843158022,-0.5326179037326495,0.2704142750486616,0.1713229136475442,0.8406784664665712,0.8941361813429738,17.97,0.5030355594102341,2.4162441628110605,0.0750609707309985,117.75628794449264,1153,37.9,2326.0,0.1052150846717794,-0.5525024213025587,0.1904337078265256,1996-01-02,us,filtered,Moving Avg Channel,Moving Avg Channel (filtered),UG-filtered
