strategy,filter_mode,start,end,years,final_equity,CAGR,MaxDD,MAR,ann_vol,Sharpe,exposure,avg_positions,win_rate,payoff,expectancy,avg_hold_days,n_trades,trades_per_year,total_commission,bench_CAGR,bench_MaxDD,bench_MAR,bench_start,market,variant,display
yearly_high,none,1996-01-02,2026-06-16,30.45,2030170.07,0.10391572068872401,-0.45396087081077896,0.2289089817435794,0.18410991924575282,0.5644221729846922,0.9711307883325104,19.5,0.45161290322580644,6.492244352680268,0.49135958797572976,565.8145161290323,248,8.1,516.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,raw,52-Week High
yearly_high,trailing_10pct,1996-01-02,2026-06-16,30.45,1440228.42,0.09154044621994784,-0.28459239297689953,0.3216545785444736,0.12799151081006002,0.7152071699176539,0.8097851153350949,16.14,0.4745470232959448,2.315591314441049,0.04891942079664034,105.56341673856772,1159,38.1,2338.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,filtered,52-Week High
hundred_day_high,none,1996-01-02,2026-06-16,30.45,5789567.63,0.1425643065152209,-0.4209987289433067,0.3386335794244622,0.18457133628007685,0.7724076196690011,0.9757575791707304,19.63,0.48095238095238096,3.414095583537331,0.16545907311767946,234.92857142857142,630,20.7,1279.61,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,raw,100-Day High
hundred_day_high,trailing_10pct,1996-01-02,2026-06-16,30.45,1340290.78,0.08896581086823696,-0.2944215872863317,0.30217149390515197,0.13101690049131245,0.6790407232549068,0.8244625246849563,16.45,0.45849802371541504,2.276185380717211,0.043074817883038664,98.51541501976284,1265,41.5,2550.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,filtered,100-Day High
trendpilot,none,1996-01-02,2026-06-16,30.45,16271071.54,0.18199891329628204,-0.5229524923406011,0.3480218871922794,0.2186901483325465,0.8322227346955259,0.990926938988578,19.91,0.44537815126050423,4.104489228900314,0.13660565176622572,157.22899159663865,952,31.3,1924.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,raw,TrendPilot
trendpilot,no_new_entries,1996-01-02,2026-06-16,30.45,25189427.9,0.199084197510754,-0.4209385106086634,0.4729531570368431,0.20450130843947767,0.9735106294915132,0.905463570650223,17.99,0.45253576072821844,4.963388329181522,0.17884365075241743,175.7295188556567,769,25.3,1558.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,filtered,TrendPilot
golden_cross,none,1996-01-02,2026-06-16,30.45,1512780.24,0.09330347594247179,-0.44520809056197164,0.20957273221314973,0.17690102781263917,0.5274332042959757,0.9604931892424077,19.23,0.4327044025157233,3.1013909361250485,0.09819115830096363,181.8691823899371,795,26.1,1610.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,raw,Golden Cross
golden_cross,exit_all_cash,1996-01-02,2026-06-16,30.45,300144.74,0.036750570546255634,-0.3571459457937747,0.10290070762129375,0.10427595093167961,0.35243572672220635,0.5218216423603912,10.43,0.4401847575057737,1.7768299178184368,0.011538281862719522,36.66420323325635,2165,71.1,4350.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,filtered,Golden Cross
mac,none,1996-01-02,2026-06-16,30.45,5331959.28,0.1394792243340277,-0.4416714475199387,0.31579859897493395,0.185638420134793,0.7513489084465981,0.9795810009106304,19.74,0.4732283464566929,2.3849556482277166,0.06875796970326109,117.4007874015748,1270,41.7,2560.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,raw,Moving Avg Channel
mac,no_new_entries,1996-01-02,2026-06-16,30.45,6019662.46,0.14402748431580226,-0.5326179037326495,0.2704142750486616,0.1713229136475442,0.8406784664665712,0.8941361813429738,17.97,0.5030355594102341,2.4162441628110605,0.0750609707309985,117.75628794449263,1153,37.9,2326.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,filtered,Moving Avg Channel
techtrader,none,1996-01-02,2026-06-16,30.45,2885967.61,0.11674012804973866,-0.5030891559488402,0.23204659983092563,0.17369504004736583,0.6720982246695367,0.9715029612359908,19.49,0.37404580152671757,3.45271548622799,0.05994890237471953,112.79312977099237,1310,43.0,2639.63,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,raw,TechTrader
techtrader,no_new_entries,1996-01-02,2026-06-16,30.45,4668276.55,0.134516201181466,-0.4217383514041956,0.3189565301177582,0.16564133003586462,0.8120932206493428,0.8775521892000712,17.44,0.38235294117647056,3.8584722128789664,0.08032314539005557,124.77039848197343,1054,34.6,2127.74,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,filtered,TechTrader
flipper,none,1996-01-02,2026-06-16,30.45,2732132.97,0.11473319408382676,-0.5338918127522034,0.2148997069132397,0.19232045890690883,0.5965730049519196,0.9723347992587023,19.6,0.4012567324955117,3.075717268296663,0.0911124176097296,131.1149012567325,1114,36.6,2247.61,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,raw,20% Flipper
flipper,trailing_10pct,1996-01-02,2026-06-16,30.45,335754.45,0.040574474793842796,-0.3922824245430647,0.10343179366525133,0.15181556708596933,0.26726162259016883,0.7358805436916771,14.55,0.3805970149253731,1.9795683832517448,0.013297464204359866,63.16762342135476,1742,57.2,3504.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,filtered,20% Flipper
bbo,none,1996-01-02,2026-06-16,30.45,3441673.07,0.12321647054254292,-0.44448278729286994,0.27721314315228035,0.17484967164283674,0.7046994677475613,0.9351153279100706,18.66,0.4893410852713178,2.3824665471463047,0.0724821464203382,136.7829457364341,1032,33.9,2084.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,raw,Bollinger Breakout
bbo,no_new_entries,1996-01-02,2026-06-16,30.45,2104821.65,0.10522551541078928,-0.3531201980792862,0.2979878126007478,0.16337472430608943,0.6440746318484666,0.8542389846875118,16.93,0.4789189189189189,2.476956599203575,0.07247839755731308,138.63135135135136,925,30.4,1870.0,0.10521508467177942,-0.5525024213025587,0.19043370782652563,1996-01-02,us,filtered,Bollinger Breakout
